Countries,Life Satisfaction,Music Streaming Penetration Rate
Australia,7.1,20.9
Austria,7.2,20.3
Belgium,6.8,20.8
Canada,7,21.1
Czechia,6.9,15.5
Denmark,7.5,18.7
Finland,7.9,25.7
France,6.7,26.6
Germany,7.3,28.6
Greece,5.8,19.1
Hungary,6,12.5
Iceland,7.6,20.1
Ireland,7,25.4
Italy,6.5,9.7
Japan,6.1,15.3
South Korea,5.8,27
Luxembourg,7.4,21
Mexico,6,9.6
Netherlands,7.5,20.1
New Zealand,7.3,8.7
Norway,7.3,22.6
Poland,6.1,12.4
Portugal,5.8,14.3
Slovakia,6.5,9.7
Spain,6.5,13.4
Sweden,7.3,31.9
Switzerland,7.5,16.2
Turkey,4.9,11.2
United Kingdom,6.8,33.7
United States,7,37.2
Brazil,6.1,17.8
Chile,6.2,19.4
Estonia,6.5,16.1
Israel,7.2,18.8
Latvia,6.2,7.1
Russia,5.5,7.1
Slovenia,6.5,4.2
South Africa,4.9,8.6
