,Year,Type,Revenue
0,2012,Sync,16.7
1,2012,Public Performance,108.55
2,2012,LP,8.35
3,2012,CD,359.05
4,2012,Other Physical,25.05
5,2012,Streaming,58.45
6,2012,Other Digital,258.85
7,2013,Sync,17.16
8,2013,Public Performance,111.54
9,2013,LP,8.58
10,2013,CD,334.62
11,2013,Other Physical,17.16
12,2013,Streaming,77.22
13,2013,Other Digital,291.72
14,2014,Sync,16.6
15,2014,Public Performance,116.2
16,2014,LP,16.6
17,2014,CD,298.8
18,2014,Other Physical,16.6
19,2014,Streaming,107.9
20,2014,Other Digital,257.3
21,2015,Sync,24.96
22,2015,Public Performance,124.8
23,2015,LP,24.96
24,2015,CD,266.24
25,2015,Other Physical,8.32
26,2015,Streaming,166.4
27,2015,Other Digital,216.32
28,2016,Sync,26.49
29,2016,Public Performance,123.62
30,2016,LP,44.15
31,2016,CD,247.24
32,2016,Other Physical,17.66
33,2016,Streaming,273.73
34,2016,Other Digital,150.11
35,2017,Sync,19.38
36,2017,Public Performance,125.97
37,2017,LP,58.14
38,2017,CD,242.25
39,2017,Other Physical,9.69
40,2017,Streaming,397.29
41,2017,Other Digital,116.28
42,2018,Sync,29.91
43,2018,Public Performance,129.61
44,2018,LP,59.82
45,2018,CD,179.46
46,2018,Other Physical,9.97
47,2018,Streaming,508.47
48,2018,Other Digital,79.76
49,2019,Sync,32.34
50,2019,Public Performance,140.14
51,2019,LP,64.68
52,2019,CD,140.14
53,2019,Other Physical,10.78
54,2019,Streaming,625.24
55,2019,Other Digital,64.68
56,2020,Sync,22.36
57,2020,Public Performance,100.62
58,2020,LP,89.44
59,2020,CD,111.8
60,2020,Other Physical,11.18
61,2020,Streaming,737.88
62,2020,Other Digital,44.72
63,2021,Sync,25.24
64,2021,Public Performance,113.58
65,2021,LP,113.58
66,2021,CD,113.58
67,2021,Other Physical,12.62
68,2021,Streaming,832.92
69,2021,Other Digital,50.48
